id,age,npset,testirt2,oc_comp,oc_reg,irregular
494,34,0,0.88678247,0,0,reg
495,43,4,0.30522463,0,1,reg
496,NA,0,-1.2047172,0,0,reg
497,31,2,0.88678247,0,0,reg
498,30,8,-0.39115804,3,9,reg
499,29,0,0.88678247,1,12,reg
500,63,0,-1.8452182,0,0,reg
501,18,2,0.30522463,0,0,reg
502,29,1,0.88678247,NA,NA,reg
503,28,2,0.88678247,2,3,reg
504,22,2,-1.1219013,NA,NA,irreg
505,45,1,-0.15778638,1,5,reg
506,28,4,0.38179988,0,0,irreg
507,31,0,-0.17797375,1,1,reg
508,29,0,0.88678247,8,12,reg
509,21,4,0.003486572,0,0,reg
510,25,1,0.28331673,0,1,reg
511,25,1,0.88678247,3,3,reg
512,40,5,0.28331673,0,0,reg
513,26,0,0.88678247,1,1,reg
514,21,1,0.88678247,0,0,reg
515,25,0,-1.4519047,0,0,reg
516,20,3,0.003486572,0,0,reg
517,23,1,-0.2177036,0,0,reg
518,21,0,0.38179988,0,0,reg
519,39,5,-0.29599166,0,5,reg
520,26,0,-0.95504993,0,1,reg
521,23,1,-0.15778638,0,0,reg
522,30,1,0.31142372,0,3,reg
523,32,2,-0.7996431,NA,NA,reg
524,55,5,0.88678247,0,1,reg
525,65,0,-1.0572201,0,0,reg
526,41,0,-0.080933593,0,0,reg
527,31,0,-0.27303874,0,0,reg
528,32,8,0.38179988,0,0,reg
529,20,0,-0.50160456,0,0,reg
530,32,1,0.88678247,NA,NA,reg
531,NA,0,0.31142372,1,2,reg
532,37,0,-0.1357865,1,1,reg
533,25,1,0.38179988,0,12,reg
534,22,0,-0.090144165,0,0,reg
535,29,8,0.88678247,0,0,reg
536,27,0,0.13725428,0,0,reg
537,20,2,0.30522463,0,0,reg
538,22,0,-1.8358746,0,0,reg
539,NA,0,0.88678247,NA,NA,reg
540,21,2,0.31142372,0,0,reg
541,NA,0,0.88678247,12,12,reg
542,20,3,-0.47993225,0,0,reg
543,43,2,-2.8655179,1,2,reg
544,41,1,0.88678247,0,0,reg
545,39,0,0.25758731,12,12,reg
546,NA,0,-0.61982572,NA,NA,reg
547,42,7,0.88678247,3,4,irreg
548,15,0,-0.47993225,0,0,reg
549,28,0,-1.0008904,5,5,reg
550,19,1,0.88678247,0,0,reg
551,20,2,0.39288607,1,1,reg
552,29,3,0.88678247,0,1,reg
553,31,0,0.30522463,NA,NA,reg
554,31,0,0.88678247,0,0,reg
555,NA,0,0.88678247,2,5,reg
556,25,0,-0.17322749,1,2,reg
557,61,0,0.88678247,1,2,reg
558,40,0,0.30522463,2,3,reg
559,19,0,0.88678247,0,2,reg
560,29,8,-0.072321698,NA,NA,reg
561,28,7,0.88678247,7,10,reg
562,27,0,-0.77766454,NA,NA,reg
563,40,0,-1.1675816,11,12,reg
564,18,4,0.88678247,1,1,reg
565,23,0,0.39288607,1,1,reg
566,36,0,0.25758731,12,12,reg
567,37,1,-0.1357865,0,0,reg
568,42,0,-0.11297655,0,0,reg
569,NA,0,-0.080933593,2,2,reg
570,20,0,-0.30181825,0,0,reg
571,32,0,0.39288607,2,5,reg
572,31,0,0.88678247,2,2,reg
573,38,0,-0.27303874,NA,NA,reg
574,21,1,0.38179988,1,1,reg
575,21,7,0.25758731,1,1,reg
576,26,0,0.14470895,0,0,reg
577,25,1,0.38179988,0,0,reg
578,NA,7,0.88678247,0,0,reg
579,27,0,-1.260517,4,4,reg
580,36,0,-0.83032399,0,1,reg
581,43,0,-0.080933593,0,0,reg
582,35,1,-1.0797983,12,12,reg
583,29,0,-1.6231939,0,0,reg
584,31,1,-1.9141667,0,1,reg
585,29,0,0.88678247,0,0,reg
586,23,0,-2.8655179,NA,NA,reg
587,30,1,-0.39115804,0,1,irreg
588,19,0,0.88678247,0,0,reg
589,32,0,-1.4510931,0,0,reg
590,35,0,0.39288607,6,6,reg
591,25,0,0.88678247,0,0,reg
592,18,7,0.88678247,0,2,reg
593,23,0,0.13725428,0,2,reg
594,18,3,0.26567224,0,0,reg
595,37,4,0.88678247,2,2,reg
596,18,0,-0.26854062,0,1,reg
597,28,0,0.30522463,0,1,reg
598,25,1,0.39288607,0,0,reg
599,19,0,0.38179988,1,1,reg
600,21,7,0.88678247,0,0,reg
601,24,3,0.88678247,NA,NA,reg
602,34,0,-0.82584989,0,0,reg
603,39,4,-0.2177036,1,1,reg
604,53,1,-0.55558604,0,0,reg
605,51,4,0.88678247,0,0,reg
606,36,0,-0.17162523,0,0,reg
607,NA,2,0.88678247,0,0,reg
608,51,0,-0.21159379,0,4,reg
609,27,1,0.88678247,12,12,irreg
610,28,1,0.39288607,NA,NA,reg
611,48,0,-1.1324607,0,0,reg
612,54,3,0.30522463,6,8,irreg
613,35,8,0.30522463,NA,NA,reg
614,23,0,-0.072321698,0,0,reg
615,20,0,-0.38008529,8,11,reg
616,40,0,-0.30181825,0,0,reg
617,26,0,0.30522463,0,0,reg
618,27,0,-0.16686191,0,1,reg
619,14,0,-1.3727319,NA,NA,reg
620,35,7,0.31142372,NA,NA,reg
621,33,0,-1.7346089,0,0,reg
622,18,0,0.88678247,0,0,reg
623,29,0,-0.1357865,NA,NA,reg
